"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","fish_id","bin","part_type"
517,"V330782_L443_1_P.jpg",2651.0614,413.8393,0,NA,0,0,NA,0,1,95.6713,0,0,0,0,0,5,101.8676,0,NA,NA,0,96.0469,243.6658,NA,98.6813,695.3402,"V330782","L0443","P"
518,"V330783_L444_1_C.jpg",3759.1905,455.5758,1,202.4253,0,1,312,0,1,126.4911,0,0,0,0,0,6,176.7258,2,324.6167,NA,0,628.4584,472.1525,409.8975,159.3989,701.3815,"V330783","L0444","C"
519,"V330784_L445_1_P.jpg",3474.1049,409.4358,0,NA,0,0,NA,0,1,100.5783,0,10,7,17,14,6,168.6683,0,NA,NA,0,117.652,459.4801,316.0269,133.2216,714.8629,"V330784","L0445","P"
520,"V330785_L446_1_C.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,153.9351,NA,0,NA,NA,NA,NA,713.5405,"V330785","L0446","C"
521,"V330786_L447_1_C.jpg",NA,490.4941,0,NA,0,1,337.6166,0,1,133.154,0,0,0,0,13,5,132.8495,0,NA,NA,0,144,442.7211,396.2953,128.1601,707.8093,"V330786","L0447","C"
522,"V330786_L447_1_P.jpg",NA,NA,0,NA,0,1,300.7191,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,152.0526,536.537,395.3732,149.3452,710.2112,"V330786","L0447","P"
523,"V330787_L448_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,238.73,555.0063,740.0108,186.3867,707.9237,"V330787","L0448","P"
524,"V330788_L449_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330788","L0449","C"
525,"V330788_L449_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,13,0,NA,0,NA,NA,0,NA,478.5917,NA,NA,720.025,"V330788","L0449","C"
526,"V330788_L449_1_P.jpg",4415.0379,534.8382,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,144.7791,0,NA,NA,0,NA,NA,NA,171.2367,736.4679,"V330788","L0449","P"
527,"V330790_L451_1_P.jpg",2510.2329,316.4965,0,NA,0,0,NA,0,1,115.8016,0,0,0,0,0,4,123.9113,0,NA,NA,0,216.7487,NA,252.2856,46.9574,720.3811,"V330790","L0451","P"
528,"V330791_L452_1_P.jpg",4053.5476,500.0778,0,NA,0,0,NA,0,1,113.2784,0,9,8,17,13,0,NA,0,NA,NA,0,NA,467.0418,NA,126.4911,730.3369,"V330791","L0452","P"
529,"V330792_L453_1_C.jpg",NA,595.9334,0,NA,1,1,288.1111,0,1,134.937,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.9034,"V330792","L0453","C"
530,"V330792_L453_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,116.2755,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,730.1507,"V330792","L0453","P"
531,"V330793_L454_1_C.jpg",2906.6462,370.5522,0,NA,0,0,NA,0,0,NA,0,0,0,16,10,4,114.4028,0,NA,NA,0,152.3155,209.7236,322.4903,58.2409,717.083,"V330793","L0454","C"
532,"V330793_L454_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,123.6285,0,NA,NA,0,NA,NA,NA,83.1865,708.7172,"V330793","L0454","P"
533,"V330794_L455_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,519.0299,414.4008,NA,714.658,"V330794","L0455","P"
534,"V330795_L456_1_P.jpg",NA,350.4052,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,61.8466,0,NA,NA,0,NA,NA,NA,NA,721.0617,"V330795","L0456","P"
535,"V330797_L458_1_C.jpg",NA,413.8178,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,712.5054,"V330797","L0458","C"
536,"V330797_L458_1_P.jpg",NA,NA,0,NA,0,1,206.8478,0,1,116.7305,0,0,0,0,0,5,141.7956,0,NA,NA,0,324.6798,354.0508,344.8434,116.8461,705.0574,"V330797","L0458","P"
537,"V330798_L459_1_C.jpg",2700.8082,324.473,0,NA,0,0,NA,0,1,109.2016,0,4,4,0,0,4,123.6932,0,NA,NA,0,110.0227,399,NA,69.7782,714.4347,"V330798","L0459","C"
538,"V330800_L461_1_P.jpg",NA,432.0865,0,NA,0,1,324.1728,0,1,125.2198,0,0,0,17,11,4,128.2498,2,314.5791,NA,0,440,357.9721,NA,NA,712.4044,"V330800","L0461","P"
539,"V330801_L462_1_C.jpg",3455.3067,459.9697,1,205.9757,0,1,305.9412,0,1,162.0278,0,0,0,17,10,5,130.6981,2,357.6926,363.1859,0,665.0331,487.2946,290.0241,77.1298,714.0567,"V330801","L0462","C"
540,"V330802_L463_1_C.jpg",4447.3311,500.525,0,NA,0,0,NA,0,1,117.6435,0,9,6,0,0,4,248.2902,0,NA,NA,0,220,NA,401.1384,NA,742.7624,"V330802","L0463","C"
541,"V330804_L465_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,160.1125,NA,NA,NA,723.5136,"V330804","L0465","C"
542,"V330805_L466_1_P.jpg",2856.46,358.6023,0,NA,0,0,NA,0,1,105,0,8,0,17,8,4,97.1648,0,NA,NA,0,55.3173,369.4388,319.2006,116.4989,713.2181,"V330805","L0466","P"
543,"V330806_L467_2_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,351.141,156,613.2928,"V330806","L0467","P"
544,"V330807_L469_2_P.jpg",NA,456.9448,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,247.6954,NA,0,479.6718,435.7442,NA,NA,619.2657,"V330807","L0469","P"
545,"V330808_L470_1_C.jpg",NA,471.0809,0,NA,0,0,NA,0,1,129.3136,0,7,8,15,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,610.7782,"V330808","L0470","C"
546,"V330809_L471_2_C.jpg",2654.4212,314.4085,0,NA,0,0,NA,0,1,75.8947,0,9,0,13,0,4,86.3481,0,NA,NA,0,136.8211,293.3939,NA,161.2452,612.1046,"V330809","L0471","C"
547,"V330810_L472_1_P.jpg",NA,356.3799,1,85.3815,0,1,217.5983,0,1,NA,0,0,0,0,0,5,103.9663,0,NA,NA,0,219.7385,434.8241,330.1772,77.4209,619.2003,"V330810","L0472","P"
548,"V330811_L473_1_P.jpg",3338.6779,423.0787,1,161.5549,0,1,304.5406,0,1,124.7798,0,0,0,17,9,5,126,0,NA,NA,0,61.7738,399.2819,325.3998,77.8845,684.4209,"V330811","L0473","P"
549,"V330812_L474_1_C.jpg",NA,407.7428,0,NA,0,0,NA,0,1,138.9748,0,8,7,17,0,0,149.459,0,NA,NA,0,163.7681,NA,NA,NA,697.4532,"V330812","L0474","C"
550,"V330812_L474_1_P.jpg",NA,437.8286,0,NA,0,0,NA,0,1,148.9463,0,7,7,15,13,4,132.8157,0,NA,NA,0,310.8585,507.8779,423.4678,NA,708.4321,"V330812","L0474","P"
551,"V330814_L476_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,733.6593,"V330814","L0476","P"
552,"V330815_L477_1_P.jpg",NA,372.8345,0,NA,0,0,NA,0,1,102.2155,0,0,0,17,0,5,112.641,0,NA,NA,0,180.1888,205.4069,NA,120,708.9937,"V330815","L0477","P"
553,"V330816_L478_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,315.5709,NA,690.163,"V330816","L0478","C"
554,"V330816_L478_1_P.jpg",NA,359.0796,0,NA,0,0,NA,0,1,142.5237,0,0,0,0,13,4,107.5407,0,NA,NA,0,159.4522,300.6742,NA,130.6981,NA,"V330816","L0478","P"
555,"V330816_L478_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.8333,"V330816","L0478","P"
556,"V330817_L479_1_P.jpg",NA,210.0082,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,179.7776,206.6301,NA,699.9714,"V330817","L0479","P"
557,"V330818_L480_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,553.1727,NA,93.723,706.4347,"V330818","L0480","C"
558,"V330818_L480_1_P.jpg",NA,513.1497,0,NA,0,1,267.1516,0,1,145.6468,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.6353,"V330818","L0480","P"
559,"V330819_L481_1_C.jpg",NA,NA,0,NA,0,1,120.4159,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,147.5263,482.336,349.0902,130.384,720.025,"V330819","L0481","C"
560,"V330820_L482_1_P.jpg",NA,345.617,0,NA,1,0,NA,1,1,121.8236,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,NA,NA,705.0574,"V330820","L0482","P"
561,"V330821_L483_1_P.jpg",1522.0473,177.6652,0,NA,0,0,NA,0,1,59.4643,0,0,0,0,0,0,NA,2,79.712,75.8024,0,NA,113.0044,129.2749,35.4401,704.0256,"V330821","L0483","P"
562,"V330822_L484_1_P.jpg",2907.6331,386.2156,0,NA,0,0,NA,0,0,NA,0,0,0,17,13,5,87.8237,0,NA,NA,0,NA,NA,295.7854,66.6108,709.733,"V330822","L0484","P"
563,"V330824_L487_1_P.jpg",3960.0727,459.4326,0,NA,0,0,NA,0,1,156.205,0,6,7,17,10,4,100.08,0,NA,NA,0,216.5179,425.0176,494.2226,117.0982,704,"V330824","L0487","P"
564,"V330825_L488_1_P.jpg",NA,499.6451,0,NA,0,0,NA,0,1,105.6835,0,0,0,0,0,0,NA,0,NA,NA,0,173.8189,284.7631,431.4267,147.1224,652.6638,"V330825","L0488","P"
565,"V330826_L489_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,120.9339,394.5884,382.038,90.7965,706.7786,"V330826","L0489","C"
566,"V330826_L489_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,80.7775,651.2281,"V330826","L0489","P"
567,"V330828_L491_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,133.4166,NA,0,133.8208,288.2568,280.5281,56.4624,699.3854,"V330828","L0491","C"
568,"V330828_L491_1_P.jpg",2427.6693,297.4497,0,NA,0,1,180.2498,0,1,97.719,0,0,0,18,10,4,104.1729,0,NA,NA,0,214.8953,298.0604,206.8913,62.6099,693.5416,"V330828","L0491","P"
569,"V330829_L492_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,142.9405,384.4216,360.1999,NA,708.6353,"V330829","L0492","C"
570,"V330829_L492_1_P.jpg",2736.9636,NA,0,NA,0,1,209.6139,0,1,117.3456,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,694.0641,"V330829","L0492","P"
571,"V330830_L493_1_P.jpg",4044.5219,493.0041,0,NA,0,1,196.5401,0,1,128.1601,0,9,8,17,12,5,143.5618,2,385.2402,NA,0,719.6124,622.5343,442.5076,161.1366,696.685,"V330830","L0493","P"
572,"V330831_L494_1_P.jpg",2020.7761,289.1636,0,NA,0,0,NA,0,1,80.9938,0,0,0,16,10,6,90.0222,2,181.3395,255.7655,0,NA,NA,NA,NA,NA,"V330831","L0494","P"
573,"V330831_L494_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,263.712,294.727,277.5104,NA,700.5484,"V330831","L0494","P"
574,"V330832_L495_1_P.jpg",3216,NA,0,NA,0,0,NA,0,1,132.4424,0,0,0,0,0,0,NA,0,NA,NA,0,125.3196,429.2622,370.8854,71.1196,726.4709,"V330832","L0495","P"
575,"V330834_L497_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,315.7847,310.1048,1,369.4388,NA,NA,NA,721.1304,"V330834","L0497","P"
576,"V330835_L499_1_P.jpg",NA,370.6542,0,NA,0,0,NA,0,1,108.706,0,0,0,0,0,4,77.8267,0,NA,NA,0,148.553,NA,NA,NA,720.2125,"V330835","L0499","P"
577,"V330836_L500_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,155.0484,NA,336.8679,NA,697.0366,"V330836","L0500","C"
578,"V330836_L500_1_P.jpg",NA,410.9691,0,NA,0,1,239.6414,0,1,118.2709,0,0,8,0,0,5,94.5304,0,NA,NA,0,NA,365.5845,NA,NA,700.4113,"V330836","L0500","P"
579,"V330837_L501_1_P.jpg",4296.8733,546.0853,1,221.3052,0,1,341.3151,0,1,155.6406,0,8,6,16,12,5,164,2,482.394,NA,0,608.3289,639.3246,NA,NA,689.4055,"V330837","L0501","P"
580,"V330838_L503_1_C.jpg",2356.0008,277.5314,1,101.9804,0,1,204.3135,0,1,137.3608,0,9,0,17,13,4,98,2,118.9622,NA,0,212.5653,184.0109,259.0598,64.56,702.4101,"V330838","L0503","C"
581,"V330839_L504_1_P.jpg",4085.8402,534.9813,1,128.8099,0,1,316.2278,0,1,118.4567,0,8,7,17,8,4,54.4059,2,419.142,422.1848,0,748.1711,520.0154,626.1757,146.697,725.5894,"V330839","L0504","P"
582,"V330840_L505_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,173.77,437.1727,NA,NA,709.6253,"V330840","L0505","C"
583,"V330840_L505_1_P.jpg",2970.503,372.3849,0,NA,0,0,NA,0,1,86.1626,0,0,0,18,0,5,68.8186,0,NA,NA,0,144.5545,334.9746,398.5775,56.5685,703.4202,"V330840","L0505","P"
584,"V330841_L506_1_P.jpg",3937.9385,451.546,1,197.3423,0,1,291.2044,0,1,126.3012,0,0,0,0,0,0,147.5127,2,376.0851,354.3558,1,423.7924,NA,NA,123.4828,713.7619,"V330841","L0506","P"
585,"V330842_L507_1_P.jpg",NA,414.0006,0,NA,1,0,NA,1,1,NA,0,0,0,0,0,0,NA,2,376.5581,329.5148,0,NA,NA,NA,NA,NA,"V330842","L0507","P"
586,"V330842_L507_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,416.9412,296.3309,NA,NA,716.8626,"V330842","L0507","P"
588,"V330845_L512_1_P.jpg",4691.7613,589.2709,0,NA,0,0,NA,0,1,135.8823,0,0,0,16,0,4,141.4214,0,NA,NA,0,247.3863,700.1828,NA,144.4991,696.9304,"V330845","L0512","P"
589,"V330846_L513_1_P.jpg",NA,441.2021,0,NA,1,1,280.0464,1,1,NA,0,0,0,0,0,0,NA,2,282.1436,425.6724,1,447.7544,NA,NA,NA,690.8668,"V330846","L0513","P"
590,"V330847_L514_1_P.jpg",4066.194,464.9618,0,NA,0,1,308.4153,0,1,NA,0,0,0,15,0,7,141.4214,0,NA,NA,0,164.4384,519.4613,520.3384,225.282,715.2398,"V330847","L0514","P"
591,"V330848_L515_1_C.jpg",NA,510.3814,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.3202,"V330848","L0515","C"
592,"V330848_L515_1_P.jpg",NA,NA,0,NA,0,1,329.3175,0,1,126.5701,0,0,0,0,0,0,NA,0,NA,NA,0,660.9811,434.6999,372.1089,NA,712.9656,"V330848","L0515","P"
593,"V330849_L516_1_P.jpg",4552.6186,545.0087,0,NA,0,0,NA,0,1,128.0625,0,0,0,17,12,6,185.5586,2,378.164,NA,0,701.3131,580.6755,NA,NA,692.0462,"V330849","L0516","P"
594,"V330850_L517_1_P.jpg",NA,358.2041,0,NA,0,1,223.7856,0,1,116.5161,0,0,0,0,0,5,79.2465,0,NA,NA,0,102.1567,291.8219,352.142,107.2007,707.2765,"V330850","L0517","P"
595,"V330851_L518_1_C.jpg",2224.9101,282.5295,0,NA,0,1,183.8831,0,1,79.8812,0,0,0,0,0,4,78,0,NA,NA,0,NA,155.9134,NA,78,715.6682,"V330851","L0518","C"
596,"V330852_L519_1_P.jpg",2859.063,400.9942,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,113.7167,0,NA,NA,0,137.437,357.3035,259.4524,60,713.1225,"V330852","L0519","P"
597,"V330853_L520_1_C.jpg",NA,635.6961,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,714.4788,"V330853","L0520","C"
598,"V330853_L520_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,193.982,720.5061,"V330853","L0520","P"
599,"V330855_L523_1_C.jpg",3864.4058,549.6147,0,NA,0,0,NA,0,1,125.6025,0,0,0,0,0,5,132.2422,0,NA,NA,0,518.0563,516.4408,310.4178,98.8915,695.0364,"V330855","L0523","C"
600,"V330855_L523_1_P.jpg",3829.7171,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,699.9264,"V330855","L0523","P"
601,"V330856_L524_1_C.jpg",NA,330.77,0,NA,0,0,NA,0,1,93.0484,0,10,7,17,0,4,97.6729,0,NA,NA,0,NA,NA,300,63.5689,NA,"V330856","L0524","C"
602,"V330856_L524_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,693.6296,"V330856","L0524","C"
603,"V330857_L525_1_P.jpg",5192.4549,653.367,1,126.1428,0,0,NA,1,1,126.1784,0,9,9,17,12,5,149.94,1,NA,NA,0,498.1446,NA,NA,NA,NA,"V330857","L0525","P"
604,"V330857_L525_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,185.7337,686.8624,"V330857","L0525","P"
605,"V330858_L526_1_P.jpg",NA,630.9122,1,418.5499,0,1,371.5696,0,1,NA,0,0,0,19,0,5,149.4523,2,403.5839,NA,0,778.9326,629.8317,477.6275,NA,692.104,"V330858","L0526","P"
606,"V330859_L527_2_C.jpg",NA,NA,1,175.4537,0,1,264.3936,0,1,NA,0,0,0,0,0,0,NA,2,370.362,NA,0,NA,NA,529.8302,140.4564,624.3204,"V330859","L0527","C"
607,"V330860_L528_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,598.6259,NA,NA,139.5887,711.1013,"V330860","L0528","C"
608,"V330860_L528_1_P.jpg",4414.2261,534.7884,0,NA,0,0,NA,0,1,116.2755,0,0,0,16,10,4,124,2,318.4965,NA,0,598.2642,529.4828,427.3079,NA,698.2492,"V330860","L0528","P"
609,"V330861_L529_2_P.jpg",NA,544.0245,0,NA,0,1,255,0,1,118.2244,0,0,0,0,0,4,135.8308,2,408.3748,NA,0,654.8664,594.2727,519.9788,182.7786,699.354,"V330861","L0529","P"
610,"V330862_L530_2_P.jpg",NA,455.5958,1,NA,0,1,317.7877,0,1,168.2409,0,9,9,0,0,5,174.9286,2,340.8005,NA,0,NA,NA,NA,NA,714.6363,"V330862","L0530","P"
611,"V330863_L531_1_C.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330863","L0531","C"
612,"V330863_L531_1_P.jpg",NA,644.7387,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,768.7613,548.549,474.6641,NA,708.4067,"V330863","L0531","P"
613,"V330866_L534_1_C.jpg",NA,573.651,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,699,"V330866","L0534","C"
614,"V330866_L534_1_P.jpg",NA,578.2484,0,NA,0,0,NA,0,1,129.5531,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330866","L0534","P"
615,"V330866_L534_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,8,7,16,10,4,137.4627,0,NA,NA,0,290.7645,555.4098,400.6794,NA,692.4161,"V330866","L0534","P"
616,"V330867_L535_1_P.jpg",NA,374.5315,0,NA,0,0,NA,0,1,99.7246,0,8,8,17,11,5,125.3555,0,NA,NA,0,81.2219,NA,NA,NA,715.9448,"V330867","L0535","P"
617,"V330868_L536_1_P.jpg",3231.6364,398.0843,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,311.2636,344.5693,93.9149,705.0255,"V330868","L0536","P"
618,"V330869_L537_1_P.jpg",3906.2391,518.2765,0,NA,0,0,NA,0,1,NA,0,0,0,0,0,0,NA,2,284.4503,NA,0,452.2831,472.4235,346.2254,80.0999,701.5412,"V330869","L0537","P"
619,"V330870_L538_1_C.jpg",2790.1613,323.9322,0,NA,0,1,168.9083,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330870","L0538","C"
620,"V330870_L538_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,80.4984,0,10,7,15,12,5,82.3772,0,NA,NA,0,84,380.6219,346.3019,95.2943,708.2161,"V330870","L0538","C"
621,"V330870_L538_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,369.1951,114.0395,703.4408,"V330870","L0538","P"
622,"V330871_L539_1_P.jpg",NA,483.9923,0,NA,0,0,NA,0,1,89.8999,0,0,0,0,0,5,143.1223,2,282.3349,241.2343,0,627.1722,392.7595,NA,NA,696.3232,"V330871","L0539","P"
623,"V330872_L540_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,410.3121,NA,730.701,"V330872","L0540","C"
624,"V330872_L540_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,179.9778,390.1282,NA,NA,NA,"V330872","L0540","P"
625,"V330872_L540_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,379.6841,73.2393,736.2853,"V330872","L0540","P"
626,"V330873_L541_1_P.jpg",NA,396.0942,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,135.8308,NA,300.9585,NA,705.4849,"V330873","L0541","P"
627,"V330875_L543_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,99.2975,0,0,0,0,0,0,83.1865,0,NA,NA,0,NA,419.5474,NA,NA,NA,"V330875","L0543","C"
628,"V330875_L543_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,714.1008,"V330875","L0543","C"
629,"V330876_L544_1_C.jpg",3387.6977,391.2905,0,NA,0,0,NA,0,1,101.1929,0,0,0,16,11,6,84.0952,0,NA,NA,0,164.9242,472.3558,382.8316,121.4578,708.2824,"V330876","L0544","C"
630,"V330876_L544_1_P.jpg",3385.9309,363.8669,0,NA,0,0,NA,0,1,107.7033,0,7,6,18,10,6,78.5875,0,NA,NA,0,167.0449,396.1818,354.1073,138.1014,716.9045,"V330876","L0544","P"
631,"V330878_L546_1_C.jpg",NA,552.0567,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330878","L0546","C"
632,"V330878_L546_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,114.5426,0,10,8,17,0,4,128.9961,0,NA,NA,0,213.8036,331.8795,363.8901,NA,717.016,"V330878","L0546","C"
634,"V330880_L548_1_P.jpg",4381.1158,NA,0,NA,0,0,NA,0,1,136.2351,0,0,0,0,0,5,0,1,NA,NA,0,206.9589,612.4573,461.0423,189.6523,688,"V330880","L0548","P"
635,"V330882_L550_1_P.jpg",2403.9904,300.9884,0,NA,1,1,315.1285,0,1,126.0357,0,0,0,15,0,5,135.1333,2,354.8126,339.9544,0,389.6306,420.8777,240.1687,99.3177,705.3127,"V330882","L0550","P"
636,"V330883_L551_1_P.jpg",NA,553.7276,1,140.5133,0,1,256.3123,0,1,113.842,0,8,6,17,12,0,NA,2,336.0476,NA,0,813.2109,569.6595,495.4352,198.7159,728.011,"V330883","L0551","P"
637,"V330884_L552_2_P.jpg",4954.2164,612.8812,0,NA,0,0,NA,0,1,148.1891,0,8,5,17,0,4,180.8978,2,314.0701,NA,0,422.4358,384.4216,488.3646,191.3426,693.1493,"V330884","L0552","P"
638,"V330885_L553_2_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,392.7251,NA,NA,700.7232,"V330885","L0553","C"
639,"V330885_L553_2_P.jpg",4093.2647,567.3358,0,NA,0,1,304.6309,0,1,177.6739,0,0,0,16,0,0,NA,2,356.7408,412.6403,0,694.0432,NA,NA,NA,691.2713,"V330885","L0553","P"
640,"V330886_L554_1_C.jpg",3205.4,350.28,0,NA,0,0,NA,0,1,112.7697,0,0,0,0,0,0,NA,0,NA,NA,0,177.2287,376.3416,280.0304,90.05,723.703,"V330886","L0554","C"
641,"V330887_L555_1_P.jpg",3200.9663,367.8436,0,NA,0,0,NA,0,1,84,0,0,0,0,0,5,132.1363,0,NA,NA,0,146.5094,370.0716,NA,156.5184,723.056,"V330887","L0555","P"
642,"V330888_L556_1_C.jpg",NA,391.5331,0,NA,0,0,NA,0,1,76.4853,0,0,0,0,0,4,90.2497,0,NA,NA,0,NA,475.6017,379.8763,90.2497,700.3571,"V330888","L0556","C"
643,"V330888_L556_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,703.6775,"V330888","L0556","C"
644,"V330888_L556_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,421.7321,423.967,72,714.2269,"V330888","L0556","P"
645,"V330889_L557_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,89.1964,NA,NA,91.2414,732.4056,"V330889","L0557","C"
646,"V330889_L557_1_P.jpg",NA,393.2481,0,NA,0,0,NA,0,1,102.528,0,0,0,0,0,0,NA,0,NA,NA,0,NA,253.5843,284.684,NA,711.5125,"V330889","L0557","P"
647,"V330890_L558_1_P.jpg",3084.1182,369.7048,0,NA,0,0,NA,0,1,95.7183,0,9,7,19,0,4,84,2,262.7185,294.978,0,NA,NA,NA,NA,NA,"V330890","L0558","P"
648,"V330890_L558_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,489.0092,336.1741,292.2191,123.1463,718.6049,"V330890","L0558","P"
649,"V330891_L559_2_P.jpg",2755.7535,317.4944,0,NA,0,0,NA,0,1,93.4345,0,10,9,0,0,7,123.9113,0,NA,NA,0,144.7791,357.2016,NA,NA,715.599,"V330891","L0559","P"
